code,name,type,latitude,longitude
GVC,Den Haag Centraal,megastation,52.080276489258,4.3249998092651
VST,Voorschoten,stoptreinstation,52.1252784729,4.4324998855591
VSS,Vlissingen Souburg,stoptreinstation,51.464721679688,3.5952777862549
VSV,Varsseveld,stoptreinstation,51.937257,6.458839
MAS,Maarssen,stoptreinstation,52.135276794434,5.0336112976074
GVM,Den Haag Mariahoeve,stoptreinstation,52.090557098389,4.3694443702698
BLL,Bloemendaal,stoptreinstation,52.404167175293,4.6275000572205
RLB,Rotterdam Lombardijen,stoptreinstation,51.880001068115,4.531388759613
NDB,Naarden-Bussum,knooppuntStoptreinstation,52.280277252197,5.1569442749023
VTN,Vleuten,stoptreinstation,52.103056,5.007404
ESE,Enschede De Eschmarke,stoptreinstation,52.221389770508,6.9511113166809
ESK,Enschede Kennispark,stoptreinstation,52.23749923706,6.8388891220093
AKL,Arkel,stoptreinstation,51.87194442749,4.9927778244019
BMN,Brummen,stoptreinstation,52.091110229492,6.1469445228577
AKM,Akkrum,stoptreinstation,53.046390533447,5.843611240387
VNDW,Veenendaal West,stoptreinstation,52.028057098389,5.531388759613
BSKS,Boskoop Snijdelwijk,stoptreinstation,52.067658,4.646186
BMR,Boxmeer,knooppuntStoptreinstation,51.644521767653,5.9390330314636
EST,Elst,knooppuntStoptreinstation,51.916942596435,5.8550000190735
SOG,Schin op Geul,stoptreinstation,50.856388092041,5.8722224235535
KW,Kropswolde,stoptreinstation,53.1617362,6.7220882
LAA,Den Haag Laan v NOI,knooppuntStoptreinstation,52.078609466553,4.3427777290344
KZ,Koog aan de Zaan,stoptreinstation,52.458610534668,4.8055553436279
HZE,Heeze,stoptreinstation,51.384998321533,5.5694446563721
BNC,Barneveld Centrum,stoptreinstation,52.139999389648,5.590277671814
WWW,Winterswijk West,stoptreinstation,51.97453,6.70417
LC,Lochem,stoptreinstation,52.166667938232,6.4263887405395
UST,Usquert,stoptreinstation,53.4014742,6.6093776
DRH,Driehuis,stoptreinstation,52.442501068115,4.6380553245544
LG,Landgraaf,knooppuntStoptreinstation,50.896389007568,6.019166469574
BNK,Bunnik,stoptreinstation,52.063056945801,5.1944446563721
ETN,Etten-Leur,intercitystation,51.57500076294,4.6358332633972
ALM,Almere Centrum,knooppuntIntercitystation,52.37503,5.21764
BNN,Barneveld Noord,stoptreinstation,52.161388397217,5.5980553627014
DRP,Dronryp,stoptreinstation,53.1778086,5.6347411
LP,Loppersum,stoptreinstation,53.3347145,6.7472625
SPTZ,Santpoort Zuid,stoptreinstation,52.419723510742,4.6313886642456
CPS,Capelle Schollevaar,stoptreinstation,51.954166412354,4.5841665267944
UTG,Uitgeest,knooppuntStoptreinstation,52.521667480469,4.7016668319702
MDB,Middelburg,stoptreinstation,51.494720458984,3.6172223091126
HLMS,Haarlem Spaarnwoude,stoptreinstation,52.382778167725,4.6730556488037
LW,Leeuwarden,knooppuntIntercitystation,53.195835113525,5.7922220230103
HBZM,Hardinxveld Blauwe Zoom,stoptreinstation,51.82944,4.81556
